dbid,relation,se_id
DB00207,CAUSE,se_105
DB00207,CAUSE,se_106
DB00207,CAUSE,se_107
DB00207,CAUSE,se_108
DB00207,CAUSE,se_109
DB00207,CAUSE,se_182
DB00207,CAUSE,se_111
DB00207,CAUSE,se_112
DB00207,CAUSE,se_113
DB00207,CAUSE,se_114
DB00207,CAUSE,se_115
DB00207,CAUSE,se_167
DB00207,CAUSE,se_117
DB00207,CAUSE,se_118
DB00207,CAUSE,se_119
DB00207,CAUSE,se_177
DB00207,CAUSE,se_166
DB00207,CAUSE,se_122
DB00207,CAUSE,se_123
DB00207,CAUSE,se_124
DB00207,CAUSE,se_125
DB08868,CAUSE,se_126
DB08868,CAUSE,se_127
DB08868,CAUSE,se_128
DB08868,CAUSE,se_178
DB08868,CAUSE,se_162
DB08868,CAUSE,se_176
DB08868,CAUSE,se_132
DB08868,CAUSE,se_183
DB08868,CAUSE,se_134
DB08868,CAUSE,se_135
DB08868,CAUSE,se_136
DB08868,CAUSE,se_137
DB08868,CAUSE,se_138
DB08868,CAUSE,se_139
DB08868,CAUSE,se_140
DB08868,CAUSE,se_141
DB08868,CAUSE,se_142
DB08868,CAUSE,se_143
DB08868,CAUSE,se_144
DB15661,CAUSE,se_178
DB15661,CAUSE,se_176
DB15661,CAUSE,se_202
DB01394,CAUSE,se_176
DB01394,CAUSE,se_200
DB01394,CAUSE,se_178
DB01394,CAUSE,se_151
DB01394,CAUSE,se_152
DB01394,CAUSE,se_153
DB01394,CAUSE,se_154
DB01394,CAUSE,se_155
DB01394,CAUSE,se_156
DB01394,CAUSE,se_157
DB12010,CAUSE,se_178
DB12010,CAUSE,se_176
DB12010,CAUSE,se_202
DB12010,CAUSE,se_181
DB12010,CAUSE,se_162
DB12010,CAUSE,se_163
DB12010,CAUSE,se_164
DB12010,CAUSE,se_165
DB12010,CAUSE,se_166
DB12010,CAUSE,se_167
DB12010,CAUSE,se_168
DB12010,CAUSE,se_200
DB11817,CAUSE,se_176
DB11817,CAUSE,se_172
DB11817,CAUSE,se_173
DB11817,CAUSE,se_174
DB00608,CAUSE,se_201
DB00608,CAUSE,se_176
DB00608,CAUSE,se_177
DB00608,CAUSE,se_178
DB00608,CAUSE,se_198
DB00608,CAUSE,se_180
DB00608,CAUSE,se_181
DB00608,CAUSE,se_182
DB00608,CAUSE,se_183
DB00608,CAUSE,se_184
DB00608,CAUSE,se_185
DB00608,CAUSE,se_186
DB00608,CAUSE,se_187
DB00608,CAUSE,se_188
DB00608,CAUSE,se_215
DB00608,CAUSE,se_190
DB00608,CAUSE,se_200
DB00608,CAUSE,se_192
DB00608,CAUSE,se_193
DB00608,CAUSE,se_194
DB00608,CAUSE,se_195
DB00608,CAUSE,se_196
DB00608,CAUSE,se_197
DB00959,CAUSE,se_198
DB00959,CAUSE,se_199
DB00959,CAUSE,se_200
DB00959,CAUSE,se_201
DB00959,CAUSE,se_202
DB00959,CAUSE,se_203
DB00959,CAUSE,se_204
DB00959,CAUSE,se_205
DB00959,CAUSE,se_206
DB00959,CAUSE,se_207
DB00959,CAUSE,se_208
DB00959,CAUSE,se_209
DB00959,CAUSE,se_210
DB00959,CAUSE,se_211
DB00959,CAUSE,se_212
DB00959,CAUSE,se_213
DB00959,CAUSE,se_214
DB00959,CAUSE,se_215
DB00959,CAUSE,se_216
